form_code,form_title,group,court_routing,package_key,relationship_type,county,confidence_score,mapping_source,status,notes
358-a-7,Order of Disposition - Petition for Pre-placement approval of Standby Placement Instrument,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
4,Notice of Proposed Adoption,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
4-1,Petition for An Order Upon Support Agreement,Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-10,Order - Qualified Medical Child Support Order (Non-IV-D Cases),Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-11,Petition for Modification of an Order of Support,Family Court Child Support,SUPREME_AND_FAMILY_OVERLAP,PKG_CHILD_SUPPORT_PETITION,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: ORDER_OF_SUPPORT
4-11,Petition for Modification of an Order of Support,Modification,SUPREME_AND_FAMILY_OVERLAP,PKG_MODIFICATION,OPTIONAL,,0.95,CATALOG_OPTIONAL,MAPPED,Catalog optional_forms: 4-11
4-11 DSS,Support Modification against DSS,Modification,FAMILY_COURT,PKG_MODIFICATION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-11a,Order Modifying Order Made By Another Court / Family Court (Support),Modification,SUPREME_AND_FAMILY_OVERLAP,PKG_MODIFICATION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-12,Petition (Violation of Support Order),Enforcement,FAMILY_COURT,PKG_ENFORCEMENT,OPTIONAL,,0.95,CATALOG_OPTIONAL,MAPPED,Catalog optional_forms: 4-12
4-12,Petition (Violation of Support Order),Enforcement,FAMILY_COURT,PKG_ENFORCEMENT,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: ORDER_ON_VIOLATION
4-12/13,Support Enforcement/Violation Petition,Enforcement,FAMILY_COURT,PKG_ENFORCEMENT,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-12a-1,Summons - Violation of Support Order,Enforcement,FAMILY_COURT,PKG_ENFORCEMENT,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: ORDER_ON_VIOLATION
4-12a-2,Summons (Violation of Support Order) (Non-Resident),Enforcement,FAMILY_COURT,PKG_ENFORCEMENT,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: ORDER_ON_VIOLATION
4-12b,Order of Disposition (Violation of Support Order),Enforcement,FAMILY_COURT,PKG_ENFORCEMENT,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: ORDER_ON_VIOLATION
4-12c,Order (Support Magistrate Determination FCA Section 156),Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-13,Petition for Enforcement of Order Made By Another Court (Support),Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
4-13a,Order Enforcing Order Made By Another Court (Support),Family Court Child Support,SUPREME_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
4-14,Order (Entry Money Judgment),Enforcement,FAMILY_COURT,PKG_ENFORCEMENT,OPTIONAL,,0.95,CATALOG_OPTIONAL,MAPPED,Catalog optional_forms: MONEY_JUDGMENT
4-15,Petition for Relief from Support Payments and Commitment,Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-15a,Order (Relief from Support Payments and Commitment),Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
4-16,"Notice of Motion to Quash, Fix or Modify Conditions of a Child Support Subpoena",Supreme Court Matrimonial,FAMILY_COURT,PKG_MOTION,OPTIONAL,,0.95,CATALOG_OPTIONAL,MAPPED,Catalog optional_forms: NOTICE_OF_MOTION
4-17,Financial Disclosure Affirmation,Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,OPTIONAL,,0.95,CATALOG_OPTIONAL,MAPPED,Catalog optional_forms: FINANCIAL_DISCLOSURE_AFFIDAVIT
4-17,Financial Disclosure Affirmation,Modification,FAMILY_COURT,PKG_MODIFICATION,OPTIONAL,,0.95,CATALOG_OPTIONAL,MAPPED,Catalog optional_forms: FINANCIAL_DISCLOSURE_AFFIDAVIT
4-17a,Financial Disclosure Affirmation (Short Form),Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,OPTIONAL,,0.95,CATALOG_OPTIONAL,MAPPED,Catalog optional_forms: FINANCIAL_DISCLOSURE_AFFIDAVIT
4-17a,Financial Disclosure Affirmation (Short Form),Modification,FAMILY_COURT,PKG_MODIFICATION,OPTIONAL,,0.95,CATALOG_OPTIONAL,MAPPED,Catalog optional_forms: FINANCIAL_DISCLOSURE_AFFIDAVIT
4-18,Petition for Support After Acknowledgment of Paternity (Individual),Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
4-18a,Petition for Support After Acknowledgment of Paternity (Commissioner),Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
4-19,Objection to Proposed Adjusted Order,Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-19a,Order Determining Objection to Proposed Adjustment,Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-19b,Order Determining Objection to Adjusted Order (Cost of Living Adjustment),Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-1a,Summons - Support,Family Court Family Offense,FAMILY_COURT,PKG_ORDER_OF_PROTECTION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-1b,Summons (Non-Resident),Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
4-2,Order Upon Support Agreement,Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-20,Notice of Motion to Vacate Adjusted Order of Support,Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: ORDER_OF_SUPPORT
4-20,Notice of Motion to Vacate Adjusted Order of Support,Supreme Court Matrimonial,FAMILY_COURT,PKG_MOTION,OPTIONAL,,0.95,CATALOG_OPTIONAL,MAPPED,Catalog optional_forms: NOTICE_OF_MOTION
4-20a,Affirmation in Support of Motion to Vacate Adjusted Order of Support,Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: ORDER_OF_SUPPORT
4-20a,Affirmation in Support of Motion to Vacate Adjusted Order of Support,Supreme Court Matrimonial,FAMILY_COURT,PKG_MOTION,REQUIRED,,0.80,ALIAS_RESOLUTION,MAPPED,Catalog required_forms: AFFIDAVIT_IN_SUPPORT
4-21,Enforcement of Arrears - Order to Licensing Entity,Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-21a,Order to Licensing Entity to Terminate Suspension,Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
4-22,Objection to Support Collection Unit Denial of Challenge to Driver's License Suspension,Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
4-22a,Order - Determination of Objections to Support Collection Unit Review of Driver's License Suspension Order,Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-23,Qualified Domestic Relations Order,Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
"4-24, 5-16, UIFSA-10","Electronic Testimony Application, Waiver of Personal Appearance and Order",Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
"4-24a, 5-16a, UIFSA-10","Support, Paternity, UIFSA - Order on Electronic Testimony Application",Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
4-25a,Child Support - Motion to Vacate for Lack of Service,Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-25b,Child Support- Affirmation in Support of Motion to Vacate for Lack of Service,Supreme Court Matrimonial,FAMILY_COURT,PKG_MOTION,REQUIRED,,0.80,ALIAS_RESOLUTION,MAPPED,Catalog required_forms: AFFIDAVIT_IN_SUPPORT
4-26,Child Support - Order on Motion to Vacate for Lack of Service,Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-3,Spousal (Only) Support Petition (spousal only),Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,REQUIRED,,1.00,CATALOG_REQUIRED,MAPPED,Catalog required_forms: 4-3
4-3,Spousal (Only) Support Petition (spousal only),Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,COUNTY_SPECIFIC,BRONX_COUNTY,0.50,COUNTY_RULE,MAPPED,County variation: procedure
4-3,Spousal (Only) Support Petition (spousal only),Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,COUNTY_SPECIFIC,KINGS_COUNTY,0.50,COUNTY_RULE,MAPPED,County variation: procedure
4-3,Spousal (Only) Support Petition (spousal only),Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,COUNTY_SPECIFIC,NEW_YORK_COUNTY,0.50,COUNTY_RULE,MAPPED,County variation: procedure
4-3,Spousal (Only) Support Petition (spousal only),Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,COUNTY_SPECIFIC,QUEENS_COUNTY,0.50,COUNTY_RULE,MAPPED,County variation: procedure
4-3,Spousal (Only) Support Petition (spousal only),Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,COUNTY_SPECIFIC,RICHMOND_COUNTY,0.50,COUNTY_RULE,MAPPED,County variation: procedure
4-3a,Petition (Commissioner),Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-3b,Addendum to Support Petition - Request for Child Support (IV-D) Services,Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-3c,Petition for Support of Adult Dependent,Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
4-4,Remand Commitment (Undertaking),Family Court Custody,FAMILY_COURT,PKG_CUSTODY_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-5+5-1d,Personal Information Form for Child Support and Paternity Proceedings,Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
4-5a,Undertaking for Support - Cash Deposit,Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
4-6,Order - Temporary Order of Support (and Referral to Support Magistrate),Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: ORDER_OF_SUPPORT
4-7,Order of Support - Zero or Below SSR/Poverty Line,Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: ORDER_OF_SUPPORT
4-7a,Order After Filing of Objections,Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-7b,Objection to Support Order,Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
4-7c,Rebuttal to Objection to Support Order,Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
4-7d,Order on Petition for Support of Adult Dependent,Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
4-8,Application for Income Execution for Support Enforcement (Clerk of Court),Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: INCOME_EXECUTION
4-8b,Petition (To Correct Income Execution for Support Execution for Support Enforcement),Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: INCOME_EXECUTION
4-8c,Petition (Order to Correct Income Execution for Support Enforcement),Family Court Child Support,FAMILY_COURT,PKG_CHILD_SUPPORT_PETITION,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: INCOME_EXECUTION
4-9,Order - Income Deduction Order,Family Court Child Support,SUPREME_AND_FAMILY_OVERLAP,PKG_CHILD_SUPPORT_PETITION,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: INCOME_EXECUTION
4-9a,LDDS-5038: Income Withholding Order (Spousal Support only,Family Court Child Support,SUPREME_AND_FAMILY_OVERLAP,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-9b,LDSS-5039: Income Withholding for Support: General Information and Instructions,Family Court Child Support,SUPREME_AND_FAMILY_OVERLAP,PKG_CHILD_SUPPORT_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
4-SM-1,Stipulation for Child Support,Supreme Court Matrimonial,FAMILY_COURT,PKG_SETTLEMENT,REQUIRED,,0.80,ALIAS_RESOLUTION,MAPPED,Catalog required_forms: SETTLEMENT_AGREEMENT
4-SM-2,Information Concerning Filing of Objections and Rebuttal in a Proceeding Before a Support Magistrate,Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
4-SM-3,Findings of Fact - Paternity,Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5,Order of Publication,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
5-1,Paternity Petition (Parent),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-1-a,Summons - Paternity,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-1-c,Summons - Paternity (Non-Resident),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-15,Petition to Vacate Acknowledgment of Paternity,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-17a,Paternity - Motion to Vacate for Lack of Service,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-17b,Paternity - Affidavit in Support of Motion to Vacate Judgment for Lack of Service,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-18,Paternity - Order on Motion to Vacate for Lack of Service,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-1b,Summons - Paternity (Non-Party Spouse or Former Spouse),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-2,Paternity Petition (Person other than parent; Representative of Society),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-3,Petition - Paternity (Social Services Official),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-4,Notice of Motion to Challenge Genetic Marker or DNA testing Directive,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-4a,Order on Motion to Challenge Genetic Marker or DNA testing Directive,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-5,Order on Petition to Vacate Acknowledgement of Paternity,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-6,Order for Genetic Marker Test,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-6a,Order - Temporary Order of Support After DNA Ordered,Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-7,Order of Filiation,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-7a,Order of Filiation (Non-Article 5/5-B),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-9,Remand Commitment (Undertaking) - Paternity,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-C-2,Order (Surrogacy Agreement),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-C-3,Petition (Assisted Reproduction),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-C-4,Order (Assisted Reproduction),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-C-5,Summons (Surrogacy Agreement or Assisted Reproduction),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
5-C-6,Report of Birth of Child,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
6,Order of Investigation,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
6-1,Petition for Appointment As Guardian of a Person Or Permanent Guardian,Family Court Custody,UNSUPPORTED,PKG_CUSTODY_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
6-1-a,Petition by Person Over 14 for Appointment of Guardian of a Person or Permanent Guardian,Family Court Custody,UNSUPPORTED,PKG_CUSTODY_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
6-1-b,Petition by Person on Behalf of Person Under 21 for Appointment of Guardian of a Person or Permanent Guardian,Family Court Custody,UNSUPPORTED,PKG_CUSTODY_PETITION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
6-1-c,Petition for Appointment of Kinship Guardian [Subsidized Kinship Guardian Program] and/or Permanent Guardian,UNGROUPED,UNSUPPORTED,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
6-10,Determination of Incapacity,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
6-11,Consent of Petitioner,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
6-2,Oath and Designation for Service of Process,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
6-3,Preference of Minor Over 14 Years of Age,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
6-4,"Waiver of Process, Renunciation or Consent to Letters of Guardianship/Standby Guardianship",UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
6-5,Order Appointing Guardian of the Person,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
6-5-a,Order Appointing Kinship Guardian [Subsidized Kinship Guardian Program] and/or Permanent Guardian,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
6-6,Letters of Guardianship of the Person of a Minor,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
6-7,Certificate of Guardian of Person of a Minor,UNGROUPED,UNSUPPORTED,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
6-8,Petition (Appointment of Standby Guardian of the Person),Family Court Family Offense,FAMILY_COURT,PKG_ORDER_OF_PROTECTION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
6-9,Order Appointing A Standby Guardian of the Person,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
7,Report of Investigation (Private Placement),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
7-1,Recognizance to Produce Child,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
7-10,Order on Petition to Terminate Placement (PINS),Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
7-11,Petition for Discontinuance of Treatment,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
7-12,Order (Discontinuation of Treatment),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
7-15,Petition - Violation of Order of Disposition,Enforcement,FAMILY_COURT,PKG_ENFORCEMENT,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: ORDER_ON_VIOLATION
7-16,Order - Violation of Order of Disposition - Probation/Suspended Judgment,Enforcement,FAMILY_COURT,PKG_ENFORCEMENT,OPTIONAL,,0.90,SUPPORTING_DOCUMENT,MAPPED,Catalog supporting_documents: ORDER_ON_VIOLATION
7-17,Order - Violation of Order of Placement,Family Court Custody,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
7-18,Petition (Extension of Placement and Permanency Hearing),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
7-19,Order - Extension of Placement and Permanency Hearing Order (PINS),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,"Non-MVP workflow (adoption, paternity, guardianship, JD/PINS, etc.)"
7-1a,Warrant of Arrest (w/ aliases) (PINS),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
7-2,Order - Directing Release of Child from Detention,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
7-20,Notice of Right of Respondent to Appeal,UNGROUPED,SUPREME_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
7-21,Order of Adjournment of Contemplation of Dismissal,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
7-3,Order Directing Detention (Post-Petition),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
7-4,Petition - PINS,Family Court Child Support,FAMILY_COURT,,,,,,ORPHAN_IN_SCOPE,Relevant to production packages but no valid mapping
7-5,Determination Upon Fact-Finding Hearing,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
7-6,Order of Adjournment in Contemplation of Dismissal (PINS),UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
7-7,Application to Restore to Calendar,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
7-8,Order of Fact-Finding and Disposition,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
7-9,Petition for Termination of Placement,UNGROUPED,FAMILY_COURT,,,,,,ORPHAN_OUT_OF_SCOPE,Ungrouped court form outside MVP scope
8-1,Information for Victims of Domestic Violence,Family Court Family Offense,FAMILY_COURT,PKG_ORDER_OF_PROTECTION,CONDITIONAL,,0.60,AI_INFERENCE,MAPPED,Classifier/heuristic inference
8-2,Petition (Family Offense),Family Court Family Offense,FAMILY_COURT,PKG_ORDER_OF_PROTECTION,REQUIRED,,1.00,CATALOG_REQUIRED,MAPPED,Catalog required_forms: 8-2
